"Name","Total Time","Total Time (CPU)","Hits"
"Periodic tasks thread","5,453 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  com.intellij.util.concurrency.AppDelayQueue$$Lambda$27.0x00000001000b4c40.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"   com.intellij.util.concurrency.AppDelayQueue.lambda$new$0 ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.DelayQueue.take ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"AWT-EventQueue-0","5,453 ms (-0%)","0.0 ms (0%)","1"
" java.awt.EventDispatchThread.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  java.awt.EventDispatchThread.pumpEvents ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"   java.awt.EventDispatchThread.pumpEvents ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"    java.awt.EventDispatchThread.pumpEventsForHierarchy ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"     java.awt.EventDispatchThread.pumpEventsForFilter ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"      java.awt.EventDispatchThread.pumpOneEventForFilters ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"       com.intellij.ide.IdeEventQueue.getNextEvent ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"        com.intellij.openapi.application.impl.ApplicationImpl.runUnlockingIntendedWrite ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"         com.intellij.ide.IdeEventQueue$$Lambda$479.0x000000010064b040.compute ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"          com.intellij.ide.IdeEventQueue.lambda$getNextEvent$16 ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"           java.awt.EventQueue.getNextEvent ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Netty Builtin Server 1","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  io.netty.util.concurrent.FastThreadLocalRunnable.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   io.netty.util.internal.ThreadExecutorMap$2.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    io.netty.util.concurrent.SingleThreadEventExecutor$4.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     io.netty.channel.nio.NioEventLoop.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"      io.netty.channel.nio.NioEventLoop.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"       io.netty.channel.nio.SelectedSelectionKeySetSelector.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        sun.nio.ch.SelectorImpl.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Netty Builtin Server 2","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  io.netty.util.concurrent.FastThreadLocalRunnable.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   io.netty.util.internal.ThreadExecutorMap$2.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    io.netty.util.concurrent.SingleThreadEventExecutor$4.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     io.netty.channel.nio.NioEventLoop.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"      io.netty.channel.nio.NioEventLoop.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"       io.netty.channel.nio.SelectedSelectionKeySetSelector.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        sun.nio.ch.SelectorImpl.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"GlobalMenuLinux loop","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  com.intellij.openapi.wm.impl.GlobalMenuLinux$$Lambda$615.0x0000000100769040.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   com.intellij.openapi.wm.impl.GlobalMenuLinux.lambda$static$6 ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    com.intellij.openapi.wm.impl.$Proxy42.runMainLoop ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     com.sun.jna.Library$Handler.invoke ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"fsnotifier64","5,453 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  java.util.concurrent.Executors$PrivilegedThreadFactory$1.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"   java.security.AccessController.doPrivileged[native] ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"      java.util.concurrent.ThreadPoolExecutor$Worker.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"       java.util.concurrent.ThreadPoolExecutor.runWorker ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.FutureTask.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"         java.util.concurrent.Executors$RunnableAdapter.call ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"          com.intellij.execution.process.ProcessWaitFor$$Lambda$637.0x00000001007ce440.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"           com.intellij.execution.process.ProcessWaitFor.lambda$new$1 ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"            com.intellij.util.ConcurrencyUtil.runUnderThreadName ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"             com.intellij.execution.process.ProcessWaitFor$$Lambda$638.0x00000001007cc840.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"              com.intellij.execution.process.ProcessWaitFor.lambda$new$0 ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"               java.lang.ProcessImpl.waitFor ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"BaseDataReader: output stream of fsnotifier64","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  java.util.concurrent.Executors$PrivilegedThreadFactory$1.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   java.security.AccessController.doPrivileged[native] ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"      java.util.concurrent.ThreadPoolExecutor$Worker.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"       java.util.concurrent.ThreadPoolExecutor.runWorker ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        java.util.concurrent.FutureTask.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"         java.util.concurrent.Executors$RunnableAdapter.call ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"          com.intellij.util.io.BaseDataReader$$Lambda$639.0x00000001007ccc40.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"           com.intellij.util.io.BaseDataReader.lambda$start$0 ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"            com.intellij.util.ConcurrencyUtil.runUnderThreadName ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"             com.intellij.util.io.BaseDataReader$$Lambda$645.0x00000001007ca840.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"              com.intellij.util.io.BaseDataReader.doRun ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"               com.intellij.util.io.BaseDataReader.readAvailable ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                com.intellij.util.io.BaseOutputReader.readAvailableBlocking ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                 java.io.Reader.read ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"BaseDataReader: error stream of fsnotifier64","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  java.util.concurrent.Executors$PrivilegedThreadFactory$1.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   java.security.AccessController.doPrivileged[native] ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"      java.util.concurrent.ThreadPoolExecutor$Worker.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"       java.util.concurrent.ThreadPoolExecutor.runWorker ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        java.util.concurrent.FutureTask.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"         java.util.concurrent.Executors$RunnableAdapter.call ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"          com.intellij.util.io.BaseDataReader$$Lambda$639.0x00000001007ccc40.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"           com.intellij.util.io.BaseDataReader.lambda$start$0 ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"            com.intellij.util.ConcurrencyUtil.runUnderThreadName ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"             com.intellij.util.io.BaseDataReader$$Lambda$645.0x00000001007ca840.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"              com.intellij.util.io.BaseDataReader.doRun ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"               com.intellij.util.io.BaseDataReader.readAvailable ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                com.intellij.util.io.BaseOutputReader.readAvailableBlocking ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                 java.io.Reader.read ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Netty Builtin Server 3","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  io.netty.util.concurrent.FastThreadLocalRunnable.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   io.netty.util.internal.ThreadExecutorMap$2.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    io.netty.util.concurrent.SingleThreadEventExecutor$4.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     io.netty.channel.nio.NioEventLoop.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"      io.netty.channel.nio.NioEventLoop.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"       io.netty.channel.nio.SelectedSelectionKeySetSelector.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        sun.nio.ch.SelectorImpl.select ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"PtyProcess Reaper for [/bin/bash, --rcfile, /home/denis/pycharm-2020.2.3/plugins/terminal/jediterm-bash.in, -i]","5,453 ms (-0%)","5,453 ms (-0%)","1"
" com.pty4j.unix.UnixPtyProcess$Reaper.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  com.pty4j.unix.UnixPtyProcess.waitFor ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   com.pty4j.unix.Pty.wait0 ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    com.pty4j.unix.linux.OSFacadeImpl.waitpid ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     com.sun.proxy.$Proxy129.waitpid ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Connector-Local","5,453 ms (-0%)","5,453 ms (-0%)","1"
" java.lang.Thread.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  com.jediterm.terminal.ui.JediTermWidget$EmulatorTask.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   com.jediterm.terminal.TerminalStarter.start ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    com.jediterm.terminal.DataStreamIteratingEmulator.next ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"     com.jediterm.terminal.TtyBasedArrayDataStream.getChar ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"      com.jediterm.terminal.TtyBasedArrayDataStream.fillBuf ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"       com.jediterm.terminal.ProcessTtyConnector.read ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"        java.io.InputStreamReader.read ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"         sun.nio.cs.StreamDecoder.read ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"          sun.nio.cs.StreamDecoder.implRead ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"           sun.nio.cs.StreamDecoder.readBytes ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"            com.pty4j.unix.PTYInputStream.read ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"             com.pty4j.unix.Pty.read ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"              com.pty4j.unix.Pty.poll ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"               jtermios.JTermios.poll ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                jtermios.linux.JTermiosImpl.poll ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                 jtermios.linux.JTermiosImpl$Linux_C_lib_DirectMapping.poll[native] ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Batik CleanerThread","5,453 ms (-0%)","0.0 ms (0%)","1"
" org.apache.batik.util.CleanerThread.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  java.lang.ref.ReferenceQueue.remove ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"*** Profiler Agent Communication Thread","5,453 ms (-0%)","5,453 ms (-0%)","1"
" org.graalvm.visualvm.lib.jfluid.server.ProfilerServer.run ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"  org.graalvm.visualvm.lib.jfluid.server.ProfilerServer.listenToClient ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"   org.graalvm.visualvm.lib.jfluid.wireprotocol.WireIO.receiveCommandOrResponse ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    java.io.ObjectInputStream.read ()","5,453 ms (-0%)","5,453 ms (-0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"*** JFluid Monitor thread ***","5,453 ms (-0%)","0.0 ms (0%)","1"
" org.graalvm.visualvm.lib.jfluid.server.Monitors$SurvGenAndThreadsMonitor.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  java.lang.Thread.sleep[native] ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"*** Profiler Agent Special Execution Thread 6","5,453 ms (-0%)","0.0 ms (0%)","1"
" org.graalvm.visualvm.lib.jfluid.server.ProfilerServer$SeparateCmdExecutionThread.run ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  java.lang.Object.wait ()","5,453 ms (-0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
